WHITE,HATCHBACK,1600,1991,12,0,FORD,LASER,PETROL,JAPAN,MATAMATA-PIAKO DISTRICT,1991,0
BLACK,MOTORCYCLE,49,2015,11,0,PGO,PMX,PETROL,TAIWAN,TAURANGA CITY,2015,RFVPMMS21F1
GREY,BOAT TRAILER,0,2015,12,0,TRAILER,JETSKI,0,NEW ZEALAND,THAMES-COROMANDEL DISTRICT,2015,0
GREEN,MOTORCYCLE,398,2005,10,0,KAWASAKI,KLX,PETROL,JAPAN,AUCKLAND,2005,JSKBB111200
WHITE,SELF PROPELLED CARAVAN,3450,2003,3,4900,MAZDA,PARKWAY,DIESEL,JAPAN,CHRISTCHURCH CITY,1991,7A8C1090903
WHITE,UTILITY,2488,2009,9,2805,NISSAN,NAVARA,DIESEL,SPAIN,HAMILTON CITY,2009,VSKCVAD40A0
WHITE,SELF PROPELLED CARAVAN,2143,2015,12,3490,MERCEDES-BENZ,SPRINTER,DIESEL,GERMANY,AUCKLAND,2015,WDB9066352P
WHITE,LIGHT VAN,2982,2015,12,2800,TOYOTA,HIACE,DIESEL,JAPAN,PALMERSTON NORTH CITY,2015,JTFHT02P105
SILVER,DOMESTIC TRAILER,0,2012,11,0,HOMEBUILT,GALVANISED,0,NEW ZEALAND,FAR NORTH DISTRICT,2003,0
RED,HATCHBACK,1984,2015,11,1655,VOLKSWAGEN,GOLF,PETROL,JAPAN,CLUTHA DISTRICT,2005,WVWZZZ1KZ5U
WHITE,STATION WAGON,1998,2011,2,1970,MITSUBISHI,ASX,PETROL,JAPAN,AUCKLAND,2011,JMFXTGA2WBZ
GOLD,SALOON,3984,2001,3,1535,FORD,FALCON,PETROL,AUSTRALIA,AUCKLAND,2001,6FPAAAJGSWY
RED,SALOON,1598,1974,1,0,FORD,CAPRI,PETROL,NOT KNOWN,MATAMATA-PIAKO DISTRICT,1974,0
GREEN,STATION WAGON,4461,2007,11,3300,TOYOTA,LANDCRUISER,DIESEL,JAPAN,HAMILTON CITY,2007,JTMHV05J104
CREAM,CARAVAN,0,1987,10,3499,CLASSIC,4.7 CHALLENGER,0,NEW ZEALAND,SELWYN DISTRICT,1987,0
RED,DOMESTIC TRAILER,0,1974,9,1999,TRAILER,CUSTOMBUILT,0,NOT KNOWN,NAPIER CITY,1974,0
BLACK,STATION WAGON,2362,2000,12,2380,TOYOTA,PREVIA,PETROL,JAPAN,QUEENSTOWN-LAKES DISTRICT,2000,JTEGD32M400
BLACK,UTILITY,1996,2011,10,2835,GREAT WALL,V200,DIESEL,CHINA,ROTORUA DISTRICT,2011,LGWDBE173BC
BLUE,HATCHBACK,1317,2015,12,1490,HONDA,JAZZ,PETROL,JAPAN,NELSON CITY,2015,JHMGK3830GX
SILVER,UTILITY,2776,2015,12,3150,HOLDEN,COLORADO,DIESEL,THAILAND,HAURAKI DISTRICT,2015,MMU147DK0GH
CREAM,SALOON,1598,1979,7,0,CHRYSLER,AVENGER,PETROL,NOT KNOWN,WAIKATO DISTRICT,1979,0
BLACK,STATION WAGON,2664,2005,7,2185,NISSAN,TERRANO,DIESEL,JAPAN,WAIKATO DISTRICT,1996,7A8DH2B0705
RED,MOTORCYCLE,1198,2012,2,0,DUCATI,1098,PETROL,ITALY,AUCKLAND,2008,ZDM1XBHW48B
WHITE,CARAVAN,0,2015,12,0,JAYCO,STARCRAFT 16-51-3,0,AUSTRALIA,INVERCARGILL CITY,2015,0
WHITE,HATCHBACK,1299,2015,12,1490,TOYOTA,YARIS,PETROL,JAPAN,DUNEDIN CITY,2015,JTDKW3D340D
YELLOW,HATCHBACK,1496,2015,8,1490,HONDA,JAZZ,PETROL,JAPAN,WAIMAKARIRI DISTRICT,2015,JHMGK5830FX
BLACK,STATION WAGON,2494,2015,12,2130,TOYOTA,RAV4,PETROL,JAPAN,AUCKLAND,2015,JTMBFREV50J
SILVER,HATCHBACK,1320,2015,12,1295,SUZUKI,SWIFT,PETROL,JAPAN,STRATFORD DISTRICT,2007,7AT0GK0CX15
BLACK,SALOON,1999,2011,3,1660,MITSUBISHI,LANCER,PETROL,JAPAN,HAMILTON CITY,2004,JMFSNCS6A4U
GREY,BOAT TRAILER,0,2015,12,0,TRAILER,FACTORY,0,NEW ZEALAND,CHRISTCHURCH CITY,2015,0
WHITE,OTHER TRUCK,5193,2015,12,5995,ISUZU,N SERIES,DIESEL,JAPAN,AUCKLAND,2015,JAANPR75HF7
BLUE,DOMESTIC TRAILER,0,2006,6,2000,TRAILER,HOWARD,0,NEW ZEALAND,SOUTHLAND DISTRICT,2006,0
BLACK,DOMESTIC TRAILER,0,2003,10,0,TRAILER,HOMEBUILT,0,NEW ZEALAND,SELWYN DISTRICT,2003,0
